type_name[Text](Type Name),file_extension[Text](File Extension),mime_type[Text](MIME Type),url_pattern[Text](URL Pattern),icon_name[Text](Icon Name)
MS Word,.doc,application/msword,,Word
MS Word,.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,Word
MS Excel,.xls,application/vnd.ms-excel,,Excel
MS Excel,.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,Excel
MS Excel,.csv,application/vnd.ms-excel,,Excel
MS PowerPoint,.ppt,application/vnd.ms-powerpoint,,PowerPoint
MS PowerPoint,.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,,PowerPoint
MS Visio,.vsd,application/vnd.visio,,Visio
MS Project,.mpp,application/vnd.ms-project,,Project
Adobe PDF,.pdf,application/pdf,,PDF
XML,.xml,text/xml,,XML
XML,.xml,application/xml,,XML
XSLT,.xslt,application/xslt+xml,,XSLT
CSS,.css,text/css,,CSS
HTML,.htm,text/html,,HTML
HTML,.html,text/html,,HTML
OS Script,.sh,application/x-sh,,os_shell
Text,.txt,text/plain,,Text
Unknown,.*,application/unknown,,Unknown
