1006435,CyberPower - 700VA Smart App LCD Battery Back-Up System - Black,HardGood,Apr-21-2020 17:45:43,249.99,1030 joules of protection; 6 surge-protected outlets; data line protection; EMI/RFI noise filter; multifunction LCD panel; Automatic Voltage Regulation; GreenPower UPS bypass design; rack mountable,"Protect electronic equipment with this CyberPower UPS. It has an integrated surge protector that keeps excess voltage at bay for maximum power spike defense, and the simulated sine wave output ensures battery backup efficiency. The LCD screen of this CyberPower UPS displays information to help you monitor energy conditions and prevent problems.",CyberPower,ACCESSORIES,Black
1071088,GE - Profile Series 28.4 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless steel,HardGood,Mar-09-2017 02:41:44,2159.99,"Up-front electronic temperature controls; TurboCool setting; short air tower; adjustable, slide-out spill-proof glass shelves; Clear Look door bins","Easily store your groceries with this GE Profile Series PSS28KSHSS 28.4 cu. ft. side-by-side refrigerator that features 4 electronic sensors, a TurboCool setting and a short air tower for maintaining a reliable temperature.",GE,APPLIANCE,Stainless steel
1118109,Whirlpool - SideKicks 17.7 Cu. Ft. Refrigerator - Monochromatic Stainless Steel,HardGood,Mar-09-2017 04:05:20,1484.99,Up-front electronic temperature controls; temperature alarm; glass shelves; humidity-controlled crisper; in-door pizza pocket; gallon-size door storage,"With up-front electronic controls and a temperature alarm, this 17.7 cu. ft. Whirlpool SideKicks WSR57R18DM refrigerator allows you to keep your groceries fresh. Glass shelves and an in-door pizza pocket provide flexible storage options.",Whirlpool,APPLIANCE,Monochromatic Stainless Steel
1267451,AudioQuest - Coffee 5' 4K Ultra HD HDMI Cable - Black/Brown,HardGood,Mar-30-2018 14:52:34,699.95,Supports resolution up to 4K Ultra HDHigh Dynamic Range (HDR) pass-throughSolid 10% silver-plated conductorsCarbon-based 3-layer noise dissipation systemDielectric-Bias System5-year limited warrantyBraided jacket,"Set up HDMI-enabled devices in your home theater system with this AudioQuest Coffee HDMI cable. The proprietary Dielectric-Bias System increases dynamic contrast for high-quality, nuanced audio, while 10 percent silver conductors reduce distortion and jitter. This AudioQuest Coffee HDMI cable supports 4K UHD televisions, Blu-ray players and a range of other electronic components for versatile connection options.",AudioQuest,MAGNOLIA HOME THEATR,Black/Brown
1267646,AudioQuest - Coffee 6.7' 4K Ultra HD HDMI Cable - Black/Brown,HardGood,Aug-08-2018 18:14:55,799.95,Supports resolution up to 4K Ultra HDHigh Dynamic Range (HDR) pass-throughSolid 10% silver-plated conductorsCarbon-based 3-layer noise dissipation systemDielectric-Bias System5-year limited warrantyBraided jacket,"Enhance your viewing and listening experience when you connect this AudioQuest Coffee HDMI cable to your television or computer setup. The Dielectric-Bias System increases the dynamic contrast for clear audio quality, while the high-speed data capabilities allow for compatibility with Ethernet systems. With convenient compatibility, this AudioQuest Coffee HDMI cable works with HDTVs, Blu-ray players and other electronic components.",AudioQuest,MAGNOLIA HOME THEATR,Black/Brown
1267728,AudioQuest - Coffee 2' 4K Ultra HD HDMI Cable - Black/Brown,HardGood,Mar-09-2017 03:59:07,519.95,Supports resolution up to 4K Ultra HDHigh Dynamic Range (HDR) pass-throughSolid 10% silver-plated conductorsCarbon-based 3-layer noise dissipation systemDielectric-Bias System5-year limited warrantyBraided jacket,"Get the high-quality picture you expect from your television with this AudioQuest Coffee HDMI cable. The carbon-based three-layer noise dissipation system prevents RF interference, and air-filled foamed-polyethylene insulation delivers maximum signal strength for seamless connectivity. With a 2-foot length, this AudioQuest Coffee HDMI cable offers flexibility when arranging electronic components.",AudioQuest,MAGNOLIA HOME THEATR,Black/Brown
1267791,"AudioQuest - Vodka 6'7"" 4K Ultra HD HDMI Cable - Black/Blue",HardGood,Mar-11-2017 00:35:30,529.95,Supports resolution up to 4K Ultra HDHigh Dynamic Range (HDR) pass-throughSolid 10% silver conductorsControlled for directionality5-year limited warrantyBraided jacketDirect silver-plated connectors,"Complete your television setup with this AudioQuest Vodka 6.7-foot HDMI cable. A carbon-based three-layer noise-dissipation system decreases distortion and prevents RF interference for added sound quality, while direct silver-plated connectors deliver increased signal transfer. This Vodka 6.7-foot HDMI cable supports a wide range of electronic components, including 4K UHD, Blu-Ray UHD and HDR devices for added versatility.",AudioQuest,MAGNOLIA HOME THEATR,Black/Blue
13790506,Project Pitchfork: Live 2003 [DVD] [2003],Movie,Nov-27-2018 07:14:11,13.99,,"German electronic ensemble Project Pitchfork deliver their darkly atmospheric music and powerful stage show to an enthusiastic audience in this performance video, recorded during a 2003 concert tour. Project Pitchfork: Live 2003 includes the songs ""Timekiller,"" ""Conjure,"" ""I Live Your Dream,"" ""Metamorphosis,""  ""Carrion,"" and more.",,VIDEO/COMPACT DISC,
13797858,Wedlock [DVD] [1991],Movie,Oct-16-2019 07:15:51,7.99,,"In this futuristic action drama directed by Lewis Teague, Frank Warren (Rutger Hauer) is a man accused of stealing millions of dollars worth of gems. In prison, all the inmates wear collars which are electronically joined to those of an unknown partner. The collars will explode if either partner gets more than 300 feet away from the other. Warren is determined to escape, however, and finds that his partner is Tracy Riggs (Mimi Rogers). They plan and execute an elaborate escape and head off to search for the stolen diamonds. But members of Warren's former gang pursue them.",,VIDEO/COMPACT DISC,
1461895,Elenco - 50-in-1 Electronic Playground,HardGood,Mar-09-2017 02:33:02,17.99,"Lets your child build more than 50 electronic projects; teaches about voltage, current, resistors, capacitors and more; uses spring hook-up method; ages 10 and up","Let your little one enjoy fun, hands-on learning with this Elenco EP-50 electronic playground, which features supplies for building more than 50 projects that teach about voltage, current, resistors, capacitors and more.",Elenco,INTERACTIVE SOFTWARE,
14662162,Blutengel: Live Lines [DVD] [2004],Movie,May-23-2019 07:13:46,13.99,,"The electronica act Blutengel perform two-dozen live songs in this 2005 release from Metropolis Records. Included in Blutengel: Live Lines are ""Angel of the Dark,"" ""Weg zu mir (Schicksalsversion 2002),"" ""Black Wedding (Dark Embrace Remix),"" ""Vampire Romance Part 1,"" and many others.",,VIDEO/COMPACT DISC,
150400,Energizer - MAX D Batteries (2-Pack),HardGood,Aug-27-2018 15:06:17,7.49,Alkaline chemistry; 1.5V of power; PowerSeal technology; holds power up to 10 years in storage,"Provide enough power for electronics with this 2-pack of Energizer MAX D batteries. Their 10-year shelf life ensures longevity while placed in storage, so you can keep plenty on hand.",Energizer,PHOTO/COMMODITIES,Silver
150419,Energizer - MAX 9V Battery,HardGood,Mar-26-2018 00:16:54,6.49,Alkaline chemistry; 9V of power; PowerSeal technology; holds power up to 5 years in storage,"Power up clock radios, smoke detectors and other electronics with this Energizer 9V battery. The 5-year shelf life lets you stock up on batteries to power household items, and the extensive battery life keeps essential items, such as flashlights, working for longer. With no mercury or cadmium, this Energizer 9V battery is a smart option for use in children's toys.",Energizer,PHOTO/COMMODITIES,Silver
1508022,Avanti - 0.7 Cu. Ft. Compact Microwave - Stainless steel,HardGood,Mar-13-2017 11:19:48,92.99,Electronic control panel; one-touch cooking programs; speed defrost; cook/defrost by weight; 9 power levels; turntable with glass tray,This Avanti MO7103SST 0.7 cu. ft. compact microwave features one-touch cooking programs that allow you to quickly and easily prepare your favorite meals and snacks. The electronic control panel enables simple operation.,Avanti,APPLIANCE,Stainless steel
15349106,Electronic Lover/The Spy Who Came [DVD],Movie,Aug-23-2019 07:31:17,13.99,,"What passed for new-fangled electronic technology in the mid-'60s is on display in two vintage sexploitation pictures featured on this double-bill release from Something Weird Video. Both Electronic Lover and The Spy Who Came have been transferred to disc in their original full-frame aspect ratios of 1.33:1, and both films look fine on DVD. While the source print for The Spy Who Came suffers some wear at the end of reels, for the most part it's clean and looks as good as one might hope, while the elements for Electronic Lover are admirably clean, and the film's moody camerawork is well served on disc. Both movies are in English, with no multiple language options or subtitles, and the audio has been mastered in Dolby Digital Stereo, retaining the original monophonic sound mixes for these movies. The low-budget sound recording for The Spy Who Came suffers a bit in this presentation, but Electronic Lover fares better, especially the enjoyably out-dated rock music score from the Fludd. Plenty of bonus materials have been appended to this disc, including four sexploitation trailers, a mid-'50s strip reel (Girl of My Dreams), a oddball burlesque short (Tel-Star Striptease), and an outdated educational short, The Philosophy of Computing. A gallery of film-oriented men's magazine artwork rounds out the package. Something Weird Video continue to be America's leading archivists of the sleazy underbelly of cinema, and this ""two-fer"" disc is another example of what they do so well -- folks with a taste for well-executed vintage sleaze will savor this.",,VIDEO/COMPACT DISC,
1585196,Hifonics - 2- or 4-Channel Electronic Crossover for Select Aftermarket Vehicle Stereo Systems - Black,HardGood,Mar-30-2020 18:40:46,67.99,Compatible with most aftermarket vehicle stereo systems that use an amplifier; external mount; 8.5V line driver; 45Hz bass boost with parametric EQ,"Customize the sound of your vehicle's aftermarket stereo system with this Hifonics HFXR 2- or 4-channel electronic crossover that features level adjustments for front, rear and sub channels. A remote enables 1dB to 12dB of bass boost for robust lows.",Hifonics,MOBILE AUDIO,Black
15874626,Bernie Worrell: Stranger -  Bernie Worrell on Earth [DVD],Movie,Oct-16-2018 07:13:15,7.99,,"A frustratingly sketchy but inarguably fascinating profile of Bernie Worrell, the brilliant keyboard player who redefined the use of electronics with Parliament/Funkadelic, this documentary gets a serviceable presentation on DVD. Stranger: Bernie Worrell on Earth has been given a non-anamorphic letterboxed transfer to disc, framed in the widescreen aspect ratio of 1.78:1, and the new material generally looks very good, though some of the performance footage suggests the filmmakers had only limited access to Worrell's live shows and some of the aging footage of the P-Funk tours of the Seventies clearly needs restoration. The audio appears in two mixes, in Dolby 5.1 surround sound and two-channel Dolby Stereo, and is crisp and resonant in both formats, making the most of Worrell's layers of eccentric keyboard patterns. The interviews are in English, with no subtitles or multiple language options included. As a bonus, the disc includes additional interview material with a dozen of the musicians who appear in the films (the bonus interviews actually run longer than the documentary itself), as well as footage of Worrell in the studio, recording two improvised pieces for his 2007 album Improvisczario. If this is hardly the definitive portrait of a wildly under-appreciated artist, at very least Stranger: Bernie Worrell on Earth offers a thoughtful look at his life and work, and music fans will want to give it a look.",,VIDEO/COMPACT DISC,
1622085,"Simpli Home - Amherst TV Cabinet for Most TVs Up to 60"" - Dark Brown",HardGood,Apr-25-2018 09:42:26,494.99,"Supports TVs up to 60""; integrated cable management","Showcase traditional beauty with this 54-inch Simpli Home Amherst media stand. Its solid wood construction provides a stable base for televisions up to 60 inches, and the central open shelving and wire cutouts let you organize electronic components. The two side doors of this Simpli Home Amherst media stand create hidden storage spaces for movie cartridges and accessories.",Simpli Home,PHOTO/COMMODITIES,Dark Brown
1654902,Cassini - 800mm Reflector Telescope with Electronic Wireless Focuser - White\Black,HardGood,Mar-09-2017 05:35:09,129.99,"80mm diameter; 40x, 120x, 133x and 399x power magnification; 800mm focal length; 80mm primary mirror; secondary mirror","Enjoy viewing the night sky with this Cassini C-80EFS reflector telescope, which features a Mars' Eye electronic red dot finderscope to help you locate celestial objects. The electronic wireless focuser enables simple hands-free operation.",Cassini,PHOTO/COMMODITIES,White\Black
1663637,Cassini - 800mm Reflector Telescope - White,HardGood,Mar-08-2017 15:09:41,99.99,"40x and 133x power magnification; 80mm diameter lens; 800mm focal length; two 1.25"" eyepieces: 6mm HF, 20mm HR; Mars' Eye electronic red-dot finderscope; 1.25"" helical rack-and-pinion focuser; Altitude Azimuth mount",Gaze into the night sky with this Cassini C-80 reflector telescope that features an Altitude Azimuth yoke mount for easy adjustment. The Mars' Eye electronic red-dot finderscope helps maintain the surrounding field of view while you focus on an object.,Cassini,PHOTO/COMMODITIES,White
