query_term[Text](Query Term),internal_term[Text](Internal Term),synonym_term[Text](Synonym Term)
1-gang,1 gang,"1-gang, 1 gang"
1st Aid,First Aid,"1st Aid, First Aid"
2 Extra Large,2x-large,"2 Extra Large, 2x-large"
2-gang,2 gang,"2-gang, 2 gang"
2xl,2X-Large,"2xl, 2X-Large"
2xultra,2x ultra,"2xultra, 2x ultra"
3-gang,3 gang,"3-gang, 3 gang"
4-gang,4 gang,"4-gang, 4 gang"
5-gang,5 gang,"5-gang, 5 gang"
6 V,6V,"6 V, 6V"
7th Generation,Seventh Generation,"7th Generation, Seventh Generation"
9 V,9V,"9 V, 9V"
9 Volt,9V,"9 Volt, 9V"
9 Volts,9V,"9 Volts, 9V"
9V,9 Volt,"9V, 9 Volt"
9V,9 Volts,"9V, 9 Volts"
A 15,A15,"A 15, A15"
A 19,A19,"A 19, A19"
A 21,A21,"A 21, A21"
AAV,air admittance valve,"AAV, air admittance valve"
AAV,trap vent,"AAV, trap vent"
Absorbent,Absorber,"Absorbent, Absorber"
AC Cover,Air Conditioning Cover,"AC Cover, Air Conditioning Cover"
AC Pro,ACPRO,"AC Pro, ACPRO"
Ace Jacket,Ace Pullover,"Ace Jacket, Ace Pullover"
Acoustical Lag Bolt,Acoustical Lag Anchor,"Acoustical Lag Bolt, Acoustical Lag Anchor"
Acoustical Lag Screw,Acoustical Lag Anchor,"Acoustical Lag Screw, Acoustical Lag Anchor"
Activated Charcoal,Activated Carbon,"Activated Charcoal, Activated Carbon"
Adirondak,Adirondack,"Adirondak, Adirondack"
Aero Garden,Aerogarden,"Aero Garden, Aerogarden"
After Bite,Bite Relief,"After Bite, Bite Relief"
Afterbite,Bite Relief,"Afterbite, Bite Relief"
Agrifab,Agri-Fab,"Agrifab, Agri-Fab"
air admittance valve,trap vent,"air admittance valve, trap vent"
Air chamber,Water hammer arrester,"Air chamber, Water hammer arrester"
Air Conditoner,Air Conditioner,"Air Conditoner, Air Conditioner"
Air Matress,Air Mattress,"Air Matress, Air Mattress"
Air Matress,Air Mattress,"Air Matress, Air Mattress"
Air Matress,Air Mattress,"Air Matress, Air Mattress"
Air Matress,Air Mattress,"Air Matress, Air Mattress"
Air Speed,Airspeed,"Air Speed, Airspeed"
Air Staple Gun,Pneumatic Stapler,"Air Staple Gun, Pneumatic Stapler"
Air Swivel,AIRSWIVEL,"Air Swivel, AIRSWIVEL"
Air Wick,Airwick,"Air Wick, Airwick"
Airconditioner,Air Conditioner,"Airconditioner, Air Conditioner"
Allen,Hex,"Allen, Hex"
Amarylis,Amaryllis,"Amarylis, Amaryllis"
Amonia,Ammonia,"Amonia, Ammonia"
angle,angular,"angle, angular"
Angry Momma,Angry Mama,"Angry Momma, Angry Mama"
angular,angle,"angular, angle"
Anti freeze,Antifreeze,"Anti freeze, Antifreeze"
Anti freeze,Coolant,"Anti freeze, Coolant"
Anti Gravity Chair,Zero Gravity Chair,"Anti Gravity Chair, Zero Gravity Chair"
Anti Gravity Chair,Anti Gravity Lounger,"Anti Gravity Chair, Anti Gravity Lounger"
Antifreeze,Coolant,"Antifreeze, Coolant"
Apple Pealer,Apple Peeler,"Apple Pealer, Apple Peeler"
Apple Picker,Fruit Picker,"Apple Picker, Fruit Picker"
Appliance Cart,Hand Truck,"Appliance Cart, Hand Truck"
Applied Sunshine,GoSun,"Applied Sunshine, GoSun"
Applied Sunshine,GoSun,"Applied Sunshine, GoSun"
Aquabot,Robotic Pool Cleaner,"Aquabot, Robotic Pool Cleaner"
Arm and Hammer ,Arm & Hammer,"Arm and Hammer , Arm & Hammer"
Armorall,Armor All,"Armorall, Armor All"
Art,Hobby,"Art, Hobby"
Art,Artist,"Art, Artist"
art,artist,"art, artist"
artist ,Artist,"artist , Artist"
A-Shape,A-Line,"A-Shape, A-Line"
Asian Bettle,Japanese Beetle,"Asian Bettle, Japanese Beetle"
asphalt,blacktop,"asphalt, blacktop"
Assist Bar,Grab Bar,"Assist Bar, Grab Bar"
ATF,Automatic Transmission Fluid,"ATF, Automatic Transmission Fluid"
Auto Emergency Shovel,Car Shovel,"Auto Emergency Shovel, Car Shovel"
baby gate,safety gate,"baby gate, safety gate"
baby gate,wire mesh gate,"baby gate, wire mesh gate"
Back Brace,Back Support,"Back Brace, Back Support"
Badet,Bidet,"Badet, Bidet"
Bag Chair,Canvas Chair,"Bag Chair, Canvas Chair"
bailing wire,bale wire,"bailing wire, bale wire"
Balast,Ballast,"Balast, Ballast"
Ball Jar,Mason Jar,"Ball Jar, Mason Jar"
Ballest,Ballast,"Ballest, Ballast"
Ban Saw,Band Saw,"Ban Saw, Band Saw"
Band Aid,Bandage,"Band Aid, Bandage"
Bandaid,Bandage,"Bandaid, Bandage"
Band-aid,Bandage,"Band-aid, Bandage"
Bandaids,Bandage,"Bandaids, Bandage"
Bansaw,Band Saw,"Bansaw, Band Saw"
Bark,Mulch,"Bark, Mulch"
Barrel Fan,Drum Fan,"Barrel Fan, Drum Fan"
Base Board,Baseboard,"Base Board, Baseboard"
Basin,Sink,"Basin, Sink"
Bathroom Light Fixture,Bathroom Light,"Bathroom Light Fixture, Bathroom Light"
Battery Operated Fan,Battery Fan,"Battery Operated Fan, Battery Fan"
Bean Hook,Weeder,"Bean Hook, Weeder"
Beaver Dam,Beaverdam,"Beaver Dam, Beaverdam"
Bed Liner,Truck Bed Coating,"Bed Liner, Truck Bed Coating"
Bedliner,Truck Bed Coating,"Bedliner, Truck Bed Coating"
Bee Keeper,BeeKeeper,"Bee Keeper, BeeKeeper"
Bee Keeping,BeeKeeping,"Bee Keeping, BeeKeeping"
bicycle pump,inflator,"bicycle pump, inflator"
bicycle pump,bike pump,"bicycle pump, bike pump"
bicycle pump,hand pump,"bicycle pump, hand pump"
bicycle pump,foot pump,"bicycle pump, foot pump"
Bicycle Saddle,Bicycle Seat,"Bicycle Saddle, Bicycle Seat"
Bifenthin,Bifen,"Bifenthin, Bifen"
Bifenthrin,Bifen,"Bifenthrin, Bifen"
Big Green,BigGreen,"Big Green, BigGreen"
bike pump,inflator,"bike pump, inflator"
bike pump,bicycle pump,"bike pump, bicycle pump"
bike pump,hand pump,"bike pump, hand pump"
bike pump,foot pump,"bike pump, foot pump"
Bike Shoes,Cycling Shoes,"Bike Shoes, Cycling Shoes"
Bio Clean,Bio-clean,"Bio Clean, Bio-clean"
Bioclean,Bio-clean,"Bioclean, Bio-clean"
Biokleen,Bio-Clean,"Biokleen, Bio-Clean"
Bird Bath Heater,Bird Bath De-Icer,"Bird Bath Heater, Bird Bath De-Icer"
Bird Bath Heater,Birdbath De-Icer,"Bird Bath Heater, Birdbath De-Icer"
Bird bath Heater,Birdbath De-icer,"Bird bath Heater, Birdbath De-icer"
Birdbath Heater,Bird Bath De-Icer,"Birdbath Heater, Bird Bath De-Icer"
Birdbath Heater,Birdbath De-Icer,"Birdbath Heater, Birdbath De-Icer"
Bissel,Bissell,"Bissel, Bissell"
Black Out,BlackOut,"Black Out, BlackOut"
Bladder Tank,Pressure Tank,"Bladder Tank, Pressure Tank"
Bladder Tank,Pressure Tank,"Bladder Tank, Pressure Tank"
Bleaching Oil,Bleaching Stain,"Bleaching Oil, Bleaching Stain"
Blow Dryer,Hair Dryer,"Blow Dryer, Hair Dryer"
Boat Paint,Marine Paint,"Boat Paint, Marine Paint"
Bondix,Bondic,"Bondix, Bondic"
Bondo,Autobody Filler,"Bondo, Autobody Filler"
Box Elder,Boxelder,"Box Elder, Boxelder"
Box Elder Beetle,Boxelder,"Box Elder Beetle, Boxelder"
Box of Rags,Rags in a Box,"Box of Rags, Rags in a Box"
Boxelder,Box Elder,"Boxelder, Box Elder"
Boxelder Bug,Box Elder Bug,"Boxelder Bug, Box Elder Bug"
BR 30,BR30,"BR 30, BR30"
